Batsman,Bowler,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W,Balls Faced
HM Amla,AB Dinda,0.5,0.5,0,0,0,0,0,4
NV Ojha,Z Khan,0.285714286,0.428571429,0.142857143,0,0,0.142857143,0,7
SV Samson,MJ McClenaghan,0.5,0.166666667,0,0,0,0.166666667,0.166666667,6
DJ Hooda,DJ Bravo,0.285714286,0.285714286,0.142857143,0,0,0,0.285714286,7
EJG Morgan,HH Pandya,0.333333333,0.666666667,0,0,0,0,0,3
SR Watson,RP Singh,0.5,0,0,0,0,0,0.5,2
BCJ Cutting,DJ Bravo,0.4,0.2,0.2,0,0.2,0,0,5
V Kohli,MC Henriques,0.285714286,0.380952381,0.095238095,0.047619048,0.095238095,0.095238095,0,21
KK Nair,Sandeep Sharma,0.5,0.5,0,0,0,0,0,2
V Kohli,R Ashwin,0.4375,0.5,0,0,0.0625,0,0,16
V Kohli,P Negi,0.058823529,0.764705882,0.058823529,0,0.058823529,0.058823529,0,17
Sachin Baby,BCJ Cutting,0.5,0.5,0,0,0,0,0,2
KA Pollard,CJ Jordan,0,1,0,0,0,0,0,2
Shakib Al Hasan,DJ Bravo,0.266666667,0.4,0.066666667,0,0,0.266666667,0,15
HH Pandya,Kuldeep Yadav,0.333333333,0.333333333,0.333333333,0,0,0,0,6
Q de Kock,MJ McClenaghan,0.666666667,0.111111111,0,0,0,0.111111111,0.111111111,9
V Kohli,HH Pandya,0.666666667,0.333333333,0,0,0,0,0,3
DR Smith,Sandeep Sharma,0.714285714,0,0,0,0.142857143,0.142857143,0,7
RA Jadeja,Gurkeerat Singh,0.4,0.2,0.2,0.2,0,0,0,5
SV Samson,A Zampa,0.333333333,0.333333333,0,0,0,0,0.333333333,3
WP Saha,VR Aaron,0,0.75,0,0,0.25,0,0,4
AR Patel,UT Yadav,0.2,0.4,0.2,0,0,0,0.2,5
UT Yadav,JA Morkel,0.5,0.5,0,0,0,0,0,2
NLTC Perera,B Kumar,0.25,0.5,0,0,0,0.25,0,4
KM Jadhav,BB Sran,0,0,1,0,0,0,0,1
SN Khan,B Kumar,0,0,0,0,0.8,0.2,0,5
SS Tiwary,VR Aaron,0.333333333,0.5,0,0,0.166666667,0,0,6
V Kohli,AS Rajpoot,0.142857143,0.571428571,0.142857143,0,0.142857143,0,0,7
SV Samson,PP Chawla,0,1,0,0,0,0,0,1
MJ Guptill,DR Smith,0.5,0,0,0,0.25,0,0.25,4
AB de Villiers,DJ Bravo,0.210526316,0.473684211,0.052631579,0,0.157894737,0.105263158,0,19
BB McCullum,R Ashwin,0.4,0.2,0.1,0.1,0.1,0.1,0,10
JP Faulkner,MJ McClenaghan,0.5,0.25,0,0,0,0,0.25,4
RG Sharma,HV Patel,0.375,0.375,0.125,0,0,0.125,0,8
GJ Maxwell,Z Khan,0,1,0,0,0,0,0,1
GJ Maxwell,RA Jadeja,0,1,0,0,0,0,0,1
DA Warner,DW Steyn,0.333333333,0.111111111,0.333333333,0,0.222222222,0,0,9
V Kohli,UT Yadav,0.166666667,0.666666667,0,0,0.166666667,0,0,6
JC Buttler,Kuldeep Yadav,0.333333333,0.333333333,0,0,0.333333333,0,0,3
RV Uthappa,JJ Bumrah,0.5,0.25,0.125,0,0,0.125,0,8
AB de Villiers,R Bhatia,0,0.727272727,0.181818182,0,0.090909091,0,0,11
HM Amla,B Kumar,0.4,0.3,0,0,0.2,0,0.1,10
S Dhawan,JP Duminy,0.4,0,0.2,0,0.4,0,0,5
RG Sharma,R Bhatia,0.181818182,0.636363636,0.090909091,0,0,0.090909091,0,11
AJ Finch,PP Chawla,0.2,0.2,0,0,0.4,0.2,0,5
Shakib Al Hasan,R Ashwin,0.5,0.5,0,0,0,0,0,4
PV Tambe,CH Gayle,1,0,0,0,0,0,0,6
V Kohli,BB Sran,0.2,0,0.4,0,0,0.2,0.2,5
YK Pathan,S Aravind,0.333333333,0.666666667,0,0,0,0,0,3
MC Henriques,Iqbal Abdulla,0,1,0,0,0,0,0,2
DR Smith,Shakib Al Hasan,0.444444444,0.111111111,0,0,0.222222222,0.111111111,0.111111111,9
KD Karthik,MC Henriques,0.6,0.3,0,0,0.1,0,0,10
NLTC Perera,AR Patel,0,1,0,0,0,0,0,1
RA Jadeja,BCJ Cutting,0,1,0,0,0,0,0,1
KS Williamson,RP Singh,0.5,0.5,0,0,0,0,0,4
KK Nair,AR Patel,0.363636364,0.454545455,0.181818182,0,0,0,0,11
S Dhawan,M Morkel,0.583333333,0,0,0,0.25,0,0.166666667,12
KV Sharma,SR Watson,0.5,0.166666667,0.166666667,0,0.166666667,0,0,6
MS Dhoni,RA Jadeja,0.545454545,0.181818182,0.090909091,0,0,0.181818182,0,11
DA Warner,M Morkel,0.666666667,0.083333333,0.083333333,0,0.166666667,0,0,12
Yuvraj Singh,NLTC Perera,0,0.5,0,0,0.25,0.25,0,4
CA Lynn,SR Watson,0,0.666666667,0.333333333,0,0,0,0,3
Ishan Kishan,AR Patel,0,0.4,0.4,0,0.2,0,0,5
STR Binny,Z Khan,0.666666667,0,0,0,0.333333333,0,0,3
AT Rayudu,CH Morris,0.8,0.2,0,0,0,0,0,5
BB McCullum,NLTC Perera,0.25,0.25,0,0,0.5,0,0,4
KL Rahul,CH Morris,0.285714286,0.142857143,0,0.142857143,0.285714286,0.142857143,0,7
BB McCullum,S Aravind,0.666666667,0.222222222,0,0,0.111111111,0,0,9
EJG Morgan,Parvez Rasool,0,1,0,0,0,0,0,3
AJ Finch,Sachin Baby,0.5,0,0,0,0.25,0,0.25,4
SPD Smith,MC Henriques,0.25,0.5,0.25,0,0,0,0,4
M Vohra,Mustafizur Rahman,0.833333333,0,0,0,0,0,0.166666667,6
WP Saha,Mohammed Shami,0.25,0.25,0,0,0.25,0,0.25,4
SK Raina,MM Sharma,0.333333333,0.333333333,0,0,0.111111111,0.111111111,0.111111111,9
KP Pietersen,S Gopal,0.4,0.4,0.2,0,0,0,0,5
G Gambhir,AR Patel,0.363636364,0.545454545,0.090909091,0,0,0,0,11
SW Billings,MP Stoinis,0.6,0.2,0,0,0,0,0.2,5
MK Pandey,P Sahu,0.166666667,0.833333333,0,0,0,0,0,6
SR Watson,B Kumar,0,1,0,0,0,0,0,1
JP Faulkner,Imran Tahir,0,1,0,0,0,0,0,1
BB McCullum,Sandeep Sharma,0.666666667,0,0,0,0,0,0.333333333,3
DA Warner,HH Pandya,0.125,0.5,0.125,0.125,0.125,0,0,8
KK Nair,MP Stoinis,0.333333333,0.333333333,0,0,0.333333333,0,0,3
WP Saha,JJ Bumrah,0,0.8,0,0,0.2,0,0,5
WP Saha,CR Brathwaite,0.142857143,0.714285714,0,0,0,0,0.142857143,7
KD Karthik,T Shamsi,0.545454545,0.272727273,0.181818182,0,0,0,0,11
DJ Bravo,BB Sran,0.333333333,0.333333333,0,0,0,0,0.333333333,6
RV Uthappa,AR Patel,0.294117647,0.352941176,0.235294118,0,0.058823529,0.058823529,0,17
B Kumar,A Zampa,0.333333333,0.333333333,0,0,0,0,0.333333333,3
M Vijay,M Morkel,0.611111111,0.166666667,0,0,0.166666667,0,0.055555556,18
MK Pandey,DJ Hooda,0,1,0,0,0,0,0,2
AB de Villiers,S Kaushik,0.2,0.4,0,0,0.2,0.2,0,5
M Vohra,MJ McClenaghan,0,1,0,0,0,0,0,3
MP Stoinis,Z Khan,0.285714286,0.285714286,0.285714286,0,0,0,0.142857143,7
SK Raina,AR Patel,0.5,0.25,0,0,0.25,0,0,4
G Gambhir,MP Stoinis,0.363636364,0.363636364,0,0,0.272727273,0,0,11
JA Morkel,SP Narine,0,0.333333333,0,0,0,0.666666667,0,3
DA Miller,IK Pathan,0,1,0,0,0,0,0,2
SV Samson,NLTC Perera,0.333333333,0.444444444,0,0,0.222222222,0,0,9
S Dhawan,DS Kulkarni,0.384615385,0.307692308,0.076923077,0,0.153846154,0,0.076923077,13
KL Rahul,R Bhatia,0.25,0.75,0,0,0,0,0,4
PA Patel,GB Hogg,0.666666667,0.111111111,0,0,0.111111111,0,0.111111111,9
KL Rahul,AD Russell,0.444444444,0.444444444,0.111111111,0,0,0,0,9
V Kohli,P Kumar,0.363636364,0.227272727,0.090909091,0,0.181818182,0.090909091,0.045454545,22
RR Pant,Sandeep Sharma,0,0,0,0,1,0,0,1
MJ McClenaghan,I Sharma,0,1,0,0,0,0,0,2
GJ Maxwell,A Mishra,0.461538462,0.153846154,0.230769231,0,0,0.076923077,0.076923077,13
KV Sharma,AS Rajpoot,0,1,0,0,0,0,0,3
C Munro,HH Pandya,0.333333333,0.333333333,0.333333333,0,0,0,0,3
MS Dhoni,STR Binny,0,1,0,0,0,0,0,2
SK Raina,YS Chahal,0.166666667,0.5,0.166666667,0,0,0,0.166666667,6
V Kohli,KV Sharma,0.090909091,0.545454545,0.090909091,0,0.181818182,0.090909091,0,11
AT Rayudu,CJ Jordan,0.333333333,0.666666667,0,0,0,0,0,3
Sachin Baby,Anureet Singh,0.333333333,0.333333333,0.333333333,0,0,0,0,3
MK Pandey,Mustafizur Rahman,0.166666667,0.555555556,0.055555556,0.055555556,0.166666667,0,0,18
BB McCullum,CH Morris,0.555555556,0,0.111111111,0,0.111111111,0.111111111,0.111111111,9
AB de Villiers,DR Smith,0,0.4,0,0,0.4,0.2,0,5
KH Pandya,SP Narine,0.333333333,0.333333333,0,0,0,0,0.333333333,3
DA Warner,PV Tambe,0,0.666666667,0.166666667,0,0.166666667,0,0,6
JC Buttler,BB Sran,0.5,0.25,0,0,0,0,0.25,4
AM Rahane,M Morkel,0.375,0.375,0,0,0.125,0.125,0,8
S Dhawan,KW Richardson,0.666666667,0.166666667,0,0,0,0,0.166666667,6
SE Marsh,CH Morris,0.6,0.4,0,0,0,0,0,5
WP Saha,NLTC Perera,0,1,0,0,0,0,0,1
Harbhajan Singh,Sandeep Sharma,0.333333333,0.666666667,0,0,0,0,0,3
F Behardien,AB Dinda,0.5,0.166666667,0,0,0.166666667,0,0.166666667,6
G Gambhir,NLTC Perera,0,1,0,0,0,0,0,1
JP Duminy,AB Dinda,0.333333333,0,0.333333333,0,0,0,0.333333333,3
JC Buttler,KC Cariappa,0.5,0.5,0,0,0,0,0,4
SW Billings,SP Narine,0,1,0,0,0,0,0,1
R Sathish,M Ashwin,1,0,0,0,0,0,0,1
AT Rayudu,Iqbal Abdulla,0.25,0.5,0,0,0,0,0.25,4
G Gambhir,VR Aaron,0.6,0.4,0,0,0,0,0,10
DJ Bravo,CH Morris,0.2,0.8,0,0,0,0,0,5
SS Tiwary,DS Kulkarni,0,1,0,0,0,0,0,1
DJ Hooda,A Mishra,0,1,0,0,0,0,0,1
KK Nair,GB Hogg,0.125,0.75,0.125,0,0,0,0,8
Q de Kock,TG Southee,0.25,0.25,0,0,0.5,0,0,4
M Vijay,A Nehra,0,1,0,0,0,0,0,3
AT Rayudu,MC Henriques,0.5,0.428571429,0,0,0,0.071428571,0,14
Ishan Kishan,Gurkeerat Singh,0.5,0.5,0,0,0,0,0,2
RA Jadeja,YS Chahal,0.333333333,0.333333333,0,0,0.166666667,0.166666667,0,6
YK Pathan,MJ McClenaghan,0.2,0.4,0,0,0.4,0,0,5
KC Cariappa,Sachin Baby,0,1,0,0,0,0,0,2
GJ Maxwell,NLTC Perera,0.333333333,0.166666667,0.333333333,0,0.166666667,0,0,6
RA Jadeja,M Ashwin,0.6,0.4,0,0,0,0,0,5
S Dhawan,PJ Sangwan,0.2,0.2,0.2,0,0.4,0,0,5
DJ Hooda,TG Southee,0,1,0,0,0,0,0,1
F du Plessis,MJ McClenaghan,0.571428571,0.285714286,0,0,0,0.142857143,0,7
MM Sharma,J Yadav,0.5,0.166666667,0,0,0.166666667,0.166666667,0,6
AR Patel,VR Aaron,0.4,0.2,0,0,0.2,0.2,0,5
AM Rahane,SP Narine,0.333333333,0.555555556,0,0,0,0,0.111111111,9
DA Miller,YK Pathan,0.5,0,0,0,0,0,0.5,2
RR Pant,Yuvraj Singh,0.25,0.5,0.25,0,0,0,0,4
Mohammed Shami,SM Boland,0.333333333,0.666666667,0,0,0,0,0,3
SW Billings,PP Chawla,0.111111111,0.333333333,0.333333333,0,0.222222222,0,0,9
V Kohli,Harbhajan Singh,0.428571429,0.428571429,0,0,0.142857143,0,0,7
JP Duminy,KH Pandya,0,1,0,0,0,0,0,8
DR Smith,AR Patel,0.6,0.2,0,0,0,0,0.2,5
RR Pant,KH Pandya,0,0.333333333,0,0,0.666666667,0,0,3
P Negi,P Kumar,0.333333333,0.666666667,0,0,0,0,0,3
J Yadav,SR Watson,0.5,0.5,0,0,0,0,0,4
MC Henriques,SR Watson,0.142857143,0.714285714,0.142857143,0,0,0,0,7
DS Kulkarni,SR Watson,0,0,0,0,1,0,0,2
DR Smith,B Kumar,0.8,0.1,0,0,0,0,0.1,10
SA Yadav,S Aravind,0.333333333,0,0,0,0.333333333,0,0.333333333,3
DA Warner,M Vijay,0.333333333,0.333333333,0,0,0.333333333,0,0,3
DA Miller,Mustafizur Rahman,0.25,0.5,0,0,0.25,0,0,4
KS Williamson,KH Pandya,0,1,0,0,0,0,0,2
MC Henriques,Mohammed Shami,0.5,0,0,0,0,0,0.5,2
Shakib Al Hasan,P Sahu,0.666666667,0.333333333,0,0,0,0,0,3
G Gambhir,Harbhajan Singh,0.227272727,0.636363636,0.136363636,0,0,0,0,22
G Gambhir,YS Chahal,0,0.5,0.166666667,0,0.333333333,0,0,6
G Gambhir,JA Morkel,0,0.4,0,0,0.4,0,0.2,5
HH Pandya,PP Chawla,0.2,0.6,0,0,0,0,0.2,5
Q de Kock,AB Dinda,0.666666667,0.166666667,0,0,0,0,0.166666667,6
P Kumar,CJ Jordan,0.4,0.2,0,0,0,0,0.4,5
PA Patel,JW Hastings,0.428571429,0.285714286,0.142857143,0,0.142857143,0,0,7
DA Warner,JO Holder,0.285714286,0.714285714,0,0,0,0,0,7
M Vijay,S Kaushik,0.363636364,0.454545455,0,0,0.090909091,0,0.090909091,11
P Sahu,CR Brathwaite,0.2,0.2,0.4,0,0,0.2,0,5
A Ashish Reddy,SR Watson,0.333333333,0.5,0,0,0,0,0.166666667,6
AD Russell,Mustafizur Rahman,0.333333333,0.333333333,0,0,0,0,0.333333333,3
DS Kulkarni,MJ McClenaghan,0,1,0,0,0,0,0,1
GJ Bailey,CH Morris,0.857142857,0,0,0,0.142857143,0,0,7
RG Sharma,MC Henriques,0.4,0.6,0,0,0,0,0,5
DA Miller,RA Jadeja,0.375,0.25,0.125,0,0.125,0.125,0,8
SR Watson,CR Brathwaite,0.466666667,0.333333333,0,0,0.133333333,0.066666667,0,15
M Vijay,Shakib Al Hasan,0.2,0.4,0,0,0.4,0,0,5
AM Rahane,S Kaushik,0.4,0.4,0,0,0.2,0,0,5
SS Tiwary,HH Pandya,0.5,0.5,0,0,0,0,0,4
DR Smith,KC Cariappa,0.75,0.25,0,0,0,0,0,4
G Gambhir,BB Sran,0.5,0.208333333,0.083333333,0,0.208333333,0,0,24
WP Saha,SP Narine,0.6,0.2,0.1,0,0,0,0.1,10
WP Saha,YS Chahal,0.222222222,0.111111111,0.111111111,0,0.333333333,0,0.222222222,9
AR Patel,NLTC Perera,0.5,0,0,0,0,0,0.5,2
KK Nair,HV Patel,0.222222222,0.444444444,0.111111111,0,0.111111111,0.111111111,0,9
DR Smith,MM Sharma,0.25,0.75,0,0,0,0,0,4
MP Stoinis,SR Watson,0.285714286,0.571428571,0,0,0.142857143,0,0,7
KK Nair,DJ Hooda,0,0.888888889,0,0,0.111111111,0,0,9
BB McCullum,SP Narine,0.666666667,0,0,0,0,0,0.333333333,3
NV Ojha,CR Brathwaite,0.333333333,0.666666667,0,0,0,0,0,3
SW Billings,UT Yadav,0.428571429,0.285714286,0,0,0.142857143,0,0.142857143,7
M Vijay,SR Watson,0.454545455,0.272727273,0.090909091,0,0.090909091,0,0.090909091,11
AT Rayudu,Z Khan,0,1,0,0,0,0,0,3
AD Russell,R Bhatia,0.333333333,0.666666667,0,0,0,0,0,3
SV Samson,SR Watson,0.454545455,0.363636364,0.090909091,0,0,0,0.090909091,11
Q de Kock,AR Patel,0.333333333,0.166666667,0.166666667,0,0.277777778,0.055555556,0,18
AB de Villiers,Mustafizur Rahman,0.461538462,0.384615385,0.076923077,0,0,0,0.076923077,13
RG Sharma,SR Watson,0,1,0,0,0,0,0,5
RA Jadeja,SR Watson,0.6875,0.1875,0,0,0,0,0.125,16
AJ Finch,Bipul Sharma,0.5,0.5,0,0,0,0,0,4
SA Yadav,BB Sran,0,0.666666667,0,0,0,0.333333333,0,3
KD Karthik,MP Stoinis,0,0.5,0,0,0.5,0,0,2
KK Nair,YS Chahal,0.4,0.4,0,0,0.1,0,0.1,10
PP Chawla,Mohammed Shami,0.666666667,0,0,0,0.333333333,0,0,3
SS Tiwary,Mustafizur Rahman,0.5,0.25,0.25,0,0,0,0,4
HM Amla,S Aravind,0.25,0.25,0,0,0,0.25,0.25,4
AD Nath,Harbhajan Singh,0.5,0.5,0,0,0,0,0,2
KL Rahul,CR Brathwaite,0.5,0,0,0,0,0,0.5,2
AJ Finch,Sandeep Sharma,0.363636364,0.454545455,0.090909091,0,0.090909091,0,0,11
JC Buttler,MM Sharma,0.4,0,0,0,0.4,0,0.2,5
EJG Morgan,UT Yadav,0.444444444,0.333333333,0.111111111,0,0,0,0.111111111,9
RA Jadeja,STR Binny,0.5,0.5,0,0,0,0,0,2
Yuvraj Singh,JO Holder,0.555555556,0,0,0,0.222222222,0,0.222222222,9
KA Pollard,R Sathish,0.333333333,0,0.166666667,0,0,0.5,0,6
KA Pollard,PV Tambe,0.5,0,0,0,0,0,0.5,2
DJ Bravo,Yuvraj Singh,0.285714286,0.428571429,0.285714286,0,0,0,0,7
F du Plessis,Mustafizur Rahman,1,0,0,0,0,0,0,1
SE Marsh,Harbhajan Singh,0.307692308,0.538461538,0,0,0.076923077,0.076923077,0,13
MM Sharma,P Kumar,0.333333333,0.333333333,0,0,0,0,0.333333333,3
F du Plessis,Shakib Al Hasan,0.333333333,0.333333333,0,0,0,0,0.333333333,3
V Kohli,I Sharma,0.333333333,0.333333333,0,0,0.266666667,0.066666667,0,15
V Kohli,CR Brathwaite,0.1,0.8,0,0,0.1,0,0,10
KK Nair,A Zampa,0.2,0.4,0.3,0,0,0,0.1,10
RV Uthappa,KJ Abbott,0.2,0.4,0,0,0.4,0,0,5
SK Raina,KH Pandya,0.125,0.5,0,0,0.375,0,0,8
CH Gayle,M Morkel,0.5,0.083333333,0,0,0.25,0.083333333,0.083333333,12
KL Rahul,UT Yadav,0.333333333,0.5,0,0,0.166666667,0,0,6
M Vijay,IK Pathan,0.454545455,0.272727273,0.181818182,0,0.090909091,0,0,11
G Gambhir,A Mishra,0,1,0,0,0,0,0,3
DA Warner,SK Raina,0.153846154,0.538461538,0,0,0.230769231,0.076923077,0,13
KD Karthik,UT Yadav,0.25,0.375,0.125,0,0.125,0.125,0,8
AR Patel,DJ Bravo,0.4,0,0.4,0,0,0,0.2,5
DJ Hooda,CH Morris,0.333333333,0.666666667,0,0,0,0,0,3
AB de Villiers,HH Pandya,0,0.666666667,0,0,0,0.333333333,0,3
DJ Hooda,AF Milne,0.25,0.5,0,0,0.25,0,0,4
A Mishra,GB Hogg,0.714285714,0.142857143,0,0,0,0,0.142857143,7
Sachin Baby,MC Henriques,0.6,0.2,0,0,0.2,0,0,5
NV Ojha,M Ashwin,0,1,0,0,0,0,0,2
RR Pant,S Kaushik,0.444444444,0.222222222,0.111111111,0,0.222222222,0,0,9
SA Yadav,B Kumar,0.333333333,0,0.333333333,0,0.333333333,0,0,3
SK Raina,Mustafizur Rahman,0,0.833333333,0,0,0.166666667,0,0,6
KC Cariappa,CH Gayle,0,0.8,0,0,0,0.2,0,5
WP Saha,A Mishra,0.333333333,0.416666667,0,0,0.25,0,0,12
S Dhawan,YS Chahal,0.25,0.25,0.25,0,0,0,0.25,4
Yuvraj Singh,TG Southee,0.2,0.4,0.2,0,0,0.2,0,5
BB McCullum,KW Richardson,0.333333333,0.111111111,0,0,0.333333333,0.222222222,0,9
CH Gayle,AD Russell,0.636363636,0.181818182,0,0,0,0.181818182,0,11
M Vijay,P Kumar,0.375,0.1875,0.0625,0.0625,0.3125,0,0,16
SK Raina,SR Watson,0.5,0.3,0,0,0.1,0,0.1,10
YK Pathan,A Zampa,0.666666667,0.333333333,0,0,0,0,0,3
AT Rayudu,PV Tambe,0.428571429,0.285714286,0.142857143,0,0,0.142857143,0,7
MK Pandey,Bipul Sharma,0.166666667,0.666666667,0,0,0,0.166666667,0,6
M Vijay,S Ladda,0.375,0.375,0.125,0,0.125,0,0,8
UT Yadav,CH Morris,0,1,0,0,0,0,0,1
KS Williamson,NM Coulter-Nile,0,1,0,0,0,0,0,2
JP Duminy,TG Southee,0,1,0,0,0,0,0,3
RA Jadeja,MC Henriques,0.166666667,0.5,0.166666667,0,0.166666667,0,0,6
KL Rahul,A Mishra,0,0.2,0.4,0,0.4,0,0,5
RA Jadeja,PP Chawla,0.571428571,0,0.142857143,0,0,0.142857143,0.142857143,7
DA Miller,MC Henriques,0.333333333,0.333333333,0,0,0.166666667,0,0.166666667,6
SS Tiwary,CJ Jordan,0.4,0.4,0,0,0.2,0,0,5
PP Chawla,NLTC Perera,0.25,0,0.25,0,0.25,0,0.25,4
SV Samson,AR Patel,0.153846154,0.692307692,0.076923077,0,0,0,0.076923077,13
AB de Villiers,KC Cariappa,0,0.833333333,0.166666667,0,0,0,0,6
JP Faulkner,JJ Bumrah,0.4,0.4,0,0,0.2,0,0,5
AD Russell,NLTC Perera,0.333333333,0.333333333,0,0,0,0,0.333333333,3
AR Patel,SP Narine,0,1,0,0,0,0,0,1
S Dhawan,UT Yadav,0.333333333,0.666666667,0,0,0,0,0,3
MJ McClenaghan,Sandeep Sharma,0.666666667,0,0,0,0,0,0.333333333,3
DA Miller,CH Morris,0.5,0.5,0,0,0,0,0,6
D Wiese,Mohammed Shami,0,0.5,0.5,0,0,0,0,2
AJ Finch,Iqbal Abdulla,0.5,0,0,0,0.25,0,0.25,4
CH Gayle,BCJ Cutting,0.3,0.3,0,0,0.1,0.2,0.1,10
KJ Abbott,NLTC Perera,0,1,0,0,0,0,0,1
MP Stoinis,JP Faulkner,0.333333333,0.222222222,0.222222222,0,0.222222222,0,0,9
Shakib Al Hasan,Harbhajan Singh,0,1,0,0,0,0,0,1
Shakib Al Hasan,DR Smith,0.666666667,0.2,0,0,0.066666667,0,0.066666667,15
V Kohli,CH Morris,0.4,0.4,0.133333333,0,0.066666667,0,0,15
HH Pandya,DS Kulkarni,0.571428571,0.285714286,0,0,0,0,0.142857143,7
AT Rayudu,Bipul Sharma,0.333333333,0.5,0.083333333,0,0,0.083333333,0,12
CH Gayle,Z Khan,0.714285714,0.142857143,0,0,0,0,0.142857143,7
SK Raina,Shakib Al Hasan,0.666666667,0,0,0,0.333333333,0,0,3
DS Kulkarni,JJ Bumrah,0,0.5,0,0,0.5,0,0,2
AJ Finch,HH Pandya,0.75,0.25,0,0,0,0,0,4
N Rana,Sandeep Sharma,0.833333333,0.166666667,0,0,0,0,0,6
EJG Morgan,CR Brathwaite,0,1,0,0,0,0,0,1
HM Amla,MC Henriques,0.1,0.5,0.1,0,0.2,0.1,0,10
Yuvraj Singh,Kuldeep Yadav,0.307692308,0.076923077,0.076923077,0,0.307692308,0.230769231,0,13
RG Sharma,NLTC Perera,0.333333333,0.333333333,0.066666667,0,0.2,0.066666667,0,15
MK Pandey,AB Dinda,0,0,0.666666667,0,0.333333333,0,0,3
AB de Villiers,A Nehra,0.5,0.125,0,0,0.25,0.125,0,8
AJ Finch,Yuvraj Singh,0.166666667,0.833333333,0,0,0,0,0,6
KL Rahul,SB Jakati,0.285714286,0.571428571,0,0,0,0.142857143,0,7
DJ Hooda,YS Chahal,0.6,0.2,0,0,0,0,0.2,5
RA Jadeja,MM Sharma,0.6,0.2,0.2,0,0,0,0,5
JC Buttler,AD Russell,0.181818182,0.363636364,0,0,0.181818182,0.181818182,0.090909091,11
G Gambhir,P Kumar,0.545454545,0.181818182,0.181818182,0,0,0,0.090909091,11
AJ Finch,AR Patel,0.25,0.625,0,0,0.125,0,0,8
MK Pandey,B Kumar,0.333333333,0.444444444,0,0,0,0,0.222222222,9
KL Rahul,Mustafizur Rahman,0,0,1,0,0,0,0,1
DA Miller,Mohammed Shami,0.2,0.2,0.4,0,0.2,0,0,5
M Vijay,Mohammed Shami,0.25,0.25,0,0,0.5,0,0,4
R Bhatia,RA Jadeja,1,0,0,0,0,0,0,2
RR Pant,MC Henriques,0.375,0.375,0.125,0,0.125,0,0,8
KH Pandya,Mohammed Shami,0.6,0.2,0,0,0.2,0,0,5
DJ Hooda,R Ashwin,0.5,0,0,0,0,0,0.5,2
M Vijay,DL Chahar,0,0.6,0,0,0.2,0.2,0,5
RA Jadeja,S Aravind,0.166666667,0.666666667,0,0,0.166666667,0,0,6
MC Henriques,A Mishra,0.25,0.25,0.5,0,0,0,0,4
AM Rahane,NM Coulter-Nile,0.4,0.3,0.1,0,0.2,0,0,10
DA Miller,S Kaushik,0.454545455,0.363636364,0.181818182,0,0,0,0,11
S Nadeem,R Vinay Kumar,1,0,0,0,0,0,0,1
Sachin Baby,UT Yadav,0.428571429,0.142857143,0,0,0.285714286,0.142857143,0,7
AT Rayudu,VR Aaron,0.333333333,0.416666667,0,0,0.083333333,0.083333333,0.083333333,12
SA Yadav,HH Pandya,0,1,0,0,0,0,0,1
M Vijay,JJ Bumrah,0.5,0.5,0,0,0,0,0,8
KD Karthik,CH Morris,0.428571429,0.428571429,0,0,0.142857143,0,0,7
RR Pant,MJ McClenaghan,0.75,0.25,0,0,0,0,0,4
Sandeep Sharma,P Kumar,0,1,0,0,0,0,0,1
GJ Maxwell,Shakib Al Hasan,0.375,0.5,0,0,0,0.125,0,8
DJ Bravo,M Ashwin,0.333333333,0.666666667,0,0,0,0,0,3
SK Raina,KW Richardson,0.25,0.5,0,0,0.25,0,0,4
GJ Maxwell,R Ashwin,0.25,0.25,0,0,0.25,0.25,0,4
KH Pandya,MP Stoinis,0.333333333,0.166666667,0.166666667,0,0.166666667,0,0.166666667,6
JJ Bumrah,MM Sharma,0,1,0,0,0,0,0,1
SPD Smith,Harbhajan Singh,0,1,0,0,0,0,0,3
B Kumar,AD Russell,1,0,0,0,0,0,0,1
V Kohli,A Ashish Reddy,0.25,0.75,0,0,0,0,0,4
DA Warner,RP Singh,0.666666667,0.111111111,0,0,0,0.111111111,0.111111111,9
KD Karthik,CJ Jordan,0.454545455,0.272727273,0.090909091,0,0,0,0.181818182,11
AB de Villiers,I Sharma,0.4,0.2,0,0,0.2,0.2,0,5
MC Henriques,DR Smith,0.5,0,0,0,0,0,0.5,2
KL Rahul,Z Khan,0.333333333,0.666666667,0,0,0,0,0,3
MA Agarwal,R Vinay Kumar,0.5,0,0,0,0,0,0.5,2
RV Uthappa,Swapnil Singh,0.111111111,0.666666667,0,0,0.111111111,0.111111111,0,9
UT Khawaja,KJ Abbott,0.5,0.5,0,0,0,0,0,4
G Gambhir,DJ Hooda,0.4,0.3,0.1,0,0,0.1,0.1,10
BB McCullum,Harbhajan Singh,0.333333333,0.166666667,0,0,0.333333333,0,0.166666667,6
RA Jadeja,Imran Tahir,0.666666667,0.333333333,0,0,0,0,0,3
KH Pandya,Z Khan,0.333333333,0.333333333,0.083333333,0,0.166666667,0.083333333,0,12
DJ Hooda,Shakib Al Hasan,0,1,0,0,0,0,0,3
WP Saha,BCJ Cutting,0.333333333,0.333333333,0,0,0.333333333,0,0,3
AJ Finch,CH Gayle,0.714285714,0.285714286,0,0,0,0,0,7
